id,target
6305,0.5
27483,0.5
4931,0.5
146,0.5
13357,0.5
7729,0.5
20081,0.5
18250,0.5
1210,0.5
4648,0.5
22921,0.5
889,0.5
6097,0.5
28426,0.5
14031,0.5
21485,0.5
2577,0.5
20479,0.5
22670,0.5
1692,0.5
9965,0.5
23348,0.5
545,0.5
24411,0.5
1000,0.5
26038,0.5
29346,0.5
15098,0.5
28949,0.5
4267,0.5
22329,0.5
9556,0.5
18360,0.5
17937,0.5
16893,0.5
23742,0.5
10860,0.5
2145,0.5
8240,0.5
16259,0.5
8619,0.5
7263,0.5
10430,0.5
23989,0.5
19840,0.5
19622,0.5
19236,0.5
17000,0.5
26709,0.5
3910,0.5
8876,0.5
16470,0.5
18258,0.5
25903,0.5
14122,0.5
10495,0.5
2747,0.5
17136,0.5
4033,0.5
11324,0.5
17408,0.5
1369,0.5
4918,0.5
6206,0.5
21603,0.5
8313,0.5
21557,0.5
9781,0.5
6918,0.5
21885,0.5
12334,0.5
15065,0.5
17696,0.5
14959,0.5
5806,0.5
20214,0.5
24589,0.5
2127,0.5
28008,0.5
22135,0.5
12631,0.5
29600,0.5
5092,0.5
825,0.5
9471,0.5
29164,0.5
24515,0.5
17469,0.5
28607,0.5
265,0.5
8549,0.5
3402,0.5
21874,0.5
12682,0.5
27913,0.5
22277,0.5
21984,0.5
20103,0.5
22051,0.5
19025,0.5
15888,0.5
1912,0.5
10753,0.5
17069,0.5
8121,0.5
24117,0.5
22798,0.5
20814,0.5
21998,0.5
6819,0.5
203,0.5
29018,0.5
10598,0.5
2321,0.5
4243,0.5
1074,0.5
15780,0.5
17974,0.5
19934,0.5
12508,0.5
27258,0.5
10129,0.5
21937,0.5
10489,0.5
4103,0.5
5622,0.5
14101,0.5
29149,0.5
9388,0.5
6123,0.5
860,0.5
23303,0.5
10685,0.5
22750,0.5
6880,0.5
7692,0.5
28007,0.5
19026,0.5
11622,0.5
24378,0.5
865,0.5
13170,0.5
14460,0.5
5707,0.5
19805,0.5
4363,0.5
20869,0.5
16874,0.5
21587,0.5
8391,0.5
5309,0.5
17337,0.5
7544,0.5
7296,0.5
17910,0.5
13867,0.5
1643,0.5
29191,0.5
23611,0.5
337,0.5
23663,0.5
27304,0.5
11903,0.5
24623,0.5
22174,0.5
28988,0.5
1899,0.5
13296,0.5
1271,0.5
19133,0.5
7237,0.5
8920,0.5
29451,0.5
6472,0.5
14390,0.5
21535,0.5
6036,0.5
17755,0.5
18793,0.5
25232,0.5
21036,0.5
10463,0.5
28666,0.5
15773,0.5
14444,0.5
2103,0.5
227,0.5
3944,0.5
423,0.5
10001,0.5
23397,0.5
22420,0.5
15834,0.5
10974,0.5
2721,0.5
4099,0.5
10400,0.5
11097,0.5
27716,0.5
18248,0.5
17438,0.5
7330,0.5
6193,0.5
1464,0.5
16320,0.5
26980,0.5
23393,0.5
810,0.5
28335,0.5
3457,0.5
24029,0.5
4753,0.5
282,0.5
24581,0.5
1994,0.5
8750,0.5
9839,0.5
3235,0.5
27036,0.5
18181,0.5
13828,0.5
25582,0.5
12383,0.5
20823,0.5
21790,0.5
21838,0.5
26720,0.5
11426,0.5
22840,0.5
9566,0.5
25357,0.5
15655,0.5
2800,0.5
18784,0.5
26568,0.5
1383,0.5
3074,0.5
11799,0.5
29696,0.5
25577,0.5
13751,0.5
13324,0.5
24072,0.5
663,0.5
13707,0.5
14980,0.5
8735,0.5
12749,0.5
12177,0.5
26509,0.5
2047,0.5
19599,0.5
5488,0.5
6383,0.5
13285,0.5
25287,0.5
20466,0.5
4177,0.5
20079,0.5
28829,0.5
19617,0.5
27670,0.5
2083,0.5
14495,0.5
28765,0.5
3241,0.5
16931,0.5
13136,0.5
19377,0.5
6023,0.5
24801,0.5
20007,0.5
23462,0.5
23737,0.5
19488,0.5
23155,0.5
21512,0.5
18632,0.5
14562,0.5
9630,0.5
1734,0.5
26255,0.5
14310,0.5
9550,0.5
5839,0.5
13304,0.5
13937,0.5
8941,0.5
27268,0.5
7798,0.5
14313,0.5
11075,0.5
7522,0.5
13084,0.5
17901,0.5
27390,0.5
4327,0.5
14277,0.5
10667,0.5
624,0.5
29319,0.5
13163,0.5
2190,0.5
23747,0.5
22025,0.5
12274,0.5
10539,0.5
6951,0.5
21839,0.5
3208,0.5
4835,0.5
6735,0.5
28023,0.5
2559,0.5
6366,0.5
11039,0.5
442,0.5
14068,0.5
11970,0.5
18907,0.5
21075,0.5
19831,0.5
19085,0.5
12203,0.5
12597,0.5
15266,0.5
13143,0.5
23281,0.5
4557,0.5
4125,0.5
10507,0.5
1250,0.5
16497,0.5
17770,0.5
17380,0.5
26993,0.5
25713,0.5
23938,0.5
27318,0.5
15353,0.5
25079,0.5
20262,0.5
14079,0.5
15696,0.5
253,0.5
28557,0.5
18722,0.5
2420,0.5
4737,0.5
2750,0.5
26465,0.5
25239,0.5
18363,0.5
14083,0.5
13663,0.5
16154,0.5
11526,0.5
16411,0.5
25112,0.5
17529,0.5
20707,0.5
13609,0.5
8153,0.5
9643,0.5
12030,0.5
5424,0.5
7609,0.5
26707,0.5
26199,0.5
25084,0.5
26431,0.5
22619,0.5
16481,0.5
27053,0.5
27422,0.5
12972,0.5
27784,0.5
19187,0.5
2157,0.5
14425,0.5
19691,0.5
18193,0.5
24020,0.5
20950,0.5
6545,0.5
14416,0.5
3787,0.5
0,0.5
14675,0.5
7938,0.5
20281,0.5
10182,0.5
21684,0.5
514,0.5
26956,0.5
17615,0.5
6449,0.5
29482,0.5
20974,0.5
27170,0.5
3792,0.5
20713,0.5
24030,0.5
18702,0.5
10731,0.5
28025,0.5
25762,0.5
26462,0.5
10003,0.5
12750,0.5
7455,0.5
19802,0.5
4984,0.5
9114,0.5
28953,0.5
15359,0.5
14467,0.5
14862,0.5
19525,0.5
27367,0.5
10506,0.5
13071,0.5
24472,0.5
4702,0.5
4269,0.5
16308,0.5
424,0.5
28761,0.5
15810,0.5
15301,0.5
5558,0.5
406,0.5
4012,0.5
11873,0.5
24153,0.5
8809,0.5
26699,0.5
18344,0.5
26779,0.5
5551,0.5
22889,0.5
20728,0.5
26153,0.5
15240,0.5
27149,0.5
28695,0.5
18218,0.5
11793,0.5
18189,0.5
6110,0.5
6527,0.5
28806,0.5
6893,0.5
14957,0.5
27717,0.5
881,0.5
7710,0.5
1378,0.5
28521,0.5
23163,0.5
12527,0.5
21048,0.5
24826,0.5
18540,0.5
8356,0.5
8860,0.5
5119,0.5
9116,0.5
18983,0.5
1059,0.5
15131,0.5
29782,0.5
3417,0.5
20231,0.5
2267,0.5
7721,0.5
6045,0.5
25834,0.5
10683,0.5
20564,0.5
27458,0.5
29718,0.5
25748,0.5
27796,0.5
23827,0.5
14976,0.5
18585,0.5
464,0.5
27561,0.5
16750,0.5
7413,0.5
